codigo,cpf,nome,nascimento,Descricao,estado-civil,cep,bairro,cidade,uf,fone,celular,email,data-pri,data-ult,limite,sexo,Nro-Compras,Idade
7,48178768160,LETICIA BARROS CUNHA RIBEIRO,2056-09-03,CLIENTE S/C,,33840000,ROSANEVES,RIBEIRAO DAS NEVES,MG,,,leticia_000007@sgasoft.com.br,1999-08-03,2024-05-31,300.0,Feminino,26,68
14,39909159406,BIANCA BORGES RIBEIRO RODRIGUES,2074-09-26,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,1116791991,,bianca_000014@sgasoft.com.br,1996-01-13,2024-07-20,300.0,Feminino,55,50
17,32765290253,FERNANDO FONSECA QUEIROZ BARBOSA,2064-12-11,CLIENTE ATIVO,,34505010,MORADA DA SERRA,SABARA,MG,7176771169,30997775773,fernando_000017@sgasoft.com.br,1997-04-08,2024-11-07,0.0,Masculino,169,60
21,61987609603,RAFAEL FONSECA BRAGA CARVALHO,2023-07-21,CLIENTE ATIVO,,34505010,VILA ESPERANCA,SABARA,MG,6711981,,rafael_000021@sgasoft.com.br,1995-12-06,2024-08-09,300.0,Masculino,43,1
23,67654162260,GABRIEL SILVEIRA BRAGA RIBEIRO,2047-11-05,CLIENTE ATIVO,,30310000,SION,BELO HORIZONTE,MG,,,gabriel_000023@sgasoft.com.br,1995-12-24,2024-09-11,0.0,Masculino,125,77
25,86608631430,JACKSON CUNHA MOURA DUARTE,2047-03-05,CLIENTE S/C,,00000000,CENTRO,CAETE,MG,6112112,,jackson_000025@sgasoft.com.br,1997-01-10,2024-12-24,300.0,Masculino,39,77
27,91330763246,JOAQUIM SILVA CALDAS FERNANDES,2059-09-14,CLIENTE ATIVO,,34525060,CENTRO,SABARA,MG,3136726237,35995743444,joaquim_000027@sgasoft.com.br,1995-12-13,2024-10-11,800.0,Masculino,176,65
28,10078425638,EDUARDO ALVES MARQUES SOUZA,2071-02-24,CLIENTE ATIVO,,00000000,SAO GERALDO,CAETE,MG,4146119174,35995573344,eduardo_000028@sgasoft.com.br,1997-01-09,2024-11-13,530.0,Masculino,71,53
33,29632168666,VALENTINA GOMES PEIXOTO VARGAS,2074-08-03,CLIENTE ATIVO,,34535100,PACIENCIA,SABARA,MG,,38999783834,valentina_000033@sgasoft.com.br,1995-12-18,2024-09-25,0.0,Feminino,151,50
34,11251264930,STELLA CASTRO DIAS ROCHA,2070-06-28,CLIENTE ATIVO,,31130000,CONCORDIA,BELO HORIZONTE,MG,8186972199,30999494999,stella_000034@sgasoft.com.br,1995-11-23,2024-08-05,300.0,Feminino,169,54
35,03925928430,WANDERSON VARGAS LOPES PECANHA,2050-07-06,CLIENTE ATIVO,,34505010,PADRE CHIQUINHO,SABARA,MG,1116712111,,wanderson_000035@sgasoft.com.br,1995-09-28,2024-05-27,300.0,Masculino,37,74
36,03553062126,MARIANE FOGACA CARDOSO ALVES,1978-06-10,CLIENTE ATIVO,,34505010,PADRE CHIQUINHO,SABARA,MG,6726377,,mariane_000036@sgasoft.com.br,1995-12-22,2024-10-08,900.0,Feminino,103,46
39,53698454769,AMANDA MORAES QUEIROZ ROCHA,2065-01-25,CLIENTE ATIVO,,32230000,INDUSTRIAL,CONTAGEM,MG,,37977744774,amanda_000039@sgasoft.com.br,1997-10-24,2024-11-29,600.0,Feminino,66,60
